,DOI,abbrev,auths,titl,yr
154,10.1016/0378-8733(95)00261-L_BIB6_5,Federal Bureau of Investigation (1991),Federal Bureau of Investigation,"{'key': '10.1016/0378-8733(95)00261-L_BIB6_5', 'author': 'Federal Bureau of Investigation', 'year': '1991', 'series-title': 'Uniform Crime Reports for the United States'}",1991
155,10.1016/0378-8733(95)00261-L_BIB7,Freeman (1989),Freeman,Estimating acquaintanceship volume,1989
156,10.1016/0378-8733(95)00261-L_BIB8,Gove (1985),Gove,Are uniform crime reports a valid indicator of the index crimes? An affirmative answer with minor qualifications,1985
157,10.1016/0378-8733(95)00261-L_BIB9,Granovetter (1973),Granovetter,The strength of weak ties,1973
158,10.1016/0378-8733(95)00261-L_BIB10,Killworth (1990),Killworth,Estimating the size of personal networks,1990
159,10.1016/0378-8733(95)00261-L_BIB11,Laumann (1989),Laumann,Response to Berkelman et al,1989
160,10.1016/0378-8733(95)00261-L_BIB12,Laumann (1989),Laumann,Monitoring the AIDS epidemic in the United States: A network approach,1989
161,10.1016/0378-8733(95)00261-L_BIB13,Laumann (1993),Laumann,Monitoring AIDS and other rare population events: A network approach,1993
162,10.1016/0378-8733(95)00261-L_BIB14,National Opinion Research Center (1993),National Opinion Research Center,"{'key': '10.1016/0378-8733(95)00261-L_BIB14', 'author': 'National Opinion Research Center', 'year': '1993', 'series-title': 'General Social Surveys, 1972–1993: Cumulative Codebook'}",1993
163,10.1016/0378-8733(95)00261-L_BIB15,Shelley (1992),Shelley,A national survey of surgeons' attitudes about patients with human immunodeficiency virus infections and acquired immunodeficiency syndrome,1992
164,10.1016/0378-8733(95)00261-L_BIB16,Shelley (1990),Shelley,Information flow in social networks,1990
165,10.2105/AJPH.85.4.564,O'Carroll et al (1995),"O'Carroll P.W., Friede A., Noji E.K., Lillibridge S.R., Fries D.J., Atchison C.G.",The rapid implementation of a statewide emergency health information system during the 1993 Iowa flood,1995
166,10.1097/00007435-199501000-00010,Gunn et al (1995),"Gunn R.A., Montes J.M., Toomey K.E., Rolfs R., Greenspan J.R., Spitters C.E., Waterman S.H.","Syphilis in san diego county 1983-1992: Crack cocaine, prostitution, and the limitations of partner notification",1995
167,10.3201/eid0101.950101,Satcher (1995),Satcher D.,Emerging infections: Getting ahead of the curve,1995
168,key-10.3201/eid0101.950101-201701091027-R1,unparseable (1900),unparseable,unparseable,1900
169,key-10.3201/eid0101.950101-201701091027-R2,unparseable (1900),unparseable,unparseable,1900
170,key-10.3201/eid0101.950101-201701091027-R3,unparseable (1900),unparseable,unparseable,1900
171,key-10.3201/eid0101.950101-201701091027-R4,unparseable (1900),unparseable,unparseable,1900
172,key-10.3201/eid0101.950101-201701091027-R5,unparseable (1900),unparseable,unparseable,1900
173,key-10.3201/eid0101.950101-201701091027-R6,unparseable (1900),unparseable,unparseable,1900
174,key-10.3201/eid0101.950101-201701091027-R7,unparseable (1900),unparseable,unparseable,1900
175,key-10.3201/eid0101.950101-201701091027-R8,World Health Organization (1990),World Health Organization,Severe and complicated malaria.,1990
176,key-10.3201/eid0101.950101-201701091027-R9,unparseable (1900),unparseable,unparseable,1900
177,key-10.3201/eid0101.950101-201701091027-R10,unparseable (1900),unparseable,unparseable,1900
178,key-10.3201/eid0101.950101-201701091027-R11,unparseable (1900),unparseable,unparseable,1900
179,key-10.3201/eid0101.950101-201701091027-R12,Centers for Disease Control and Prevention (1993),Centers for Disease Control and Prevention,"Diphtheria outbreak Russian Federation, 1990-1993.",1993
180,key-10.3201/eid0101.950101-201701091027-R13,MacKenzie (1994),MacKenzie,A massive outbreak in Milwaukee of Cryptosporidium infection transmitted through the public water supply.,1994
181,key-10.3201/eid0101.950101-201701091027-R14,unparseable (1900),unparseable,unparseable,1900
182,key-10.3201/eid0101.950101-201701091027-R15,Centers for Disease Control and Prevention (1994),Centers for Disease Control and Prevention,"Expanded tuberculosis surveillance and tuberculosis morbidity United States, 1993.",1994
183,key-10.3201/eid0101.950101-201701091027-R16,Centers for Disease Control and Prevention (1994),Centers for Disease Control and Prevention,"Multidrug-resistant tuberculosis in a hospital Jersey City, New Jersey, 1990-1992.",1994
184,key-10.3201/eid0101.950101-201701091027-R17,Murphy (1994),Murphy,"New, emerging, and reemerging infectious diseases.",1994
185,key-10.3201/eid0101.950101-201701091027-R18,unparseable (1900),unparseable,unparseable,1900
186,key-10.3201/eid0101.950101-201701091027-R19,Bishop (1973),Bishop,Virus particles in epithelial cells of duodenal mucosa from children with acute non-bacterial gastroenteritis.,1973
187,key-10.3201/eid0101.950101-201701091027-R20,Cossart (1975),Cossart,Parvovirus-like particles in human sera.,1975
188,key-10.3201/eid0101.950101-201701091027-R21,Nime (1976),Nime,Acute enterocolitis in a human being infected with the protozoan Cryptosporidium.,1976
189,key-10.3201/eid0101.950101-201701091027-R22,Johnson (1977),Johnson,Isolation and partial characterization of a new virus causing acute haemorrhagic fever in Zaire.,1977
190,key-10.3201/eid0101.950101-201701091027-R23,McDade (1977),McDade,Legionnaires' disease. 2: Isolation of a bacterium and demonstration of its role in other respiratory disease.,1977
191,key-10.3201/eid0101.950101-201701091027-R24,Lee (1978),Lee,Isolation of the etiologic agent of Korean hemorrhagic fever.,1978
192,key-10.3201/eid0101.950101-201701091027-R25,Skirrow (1977),Skirrow,Campylobacter enteritis: a new disease.,1977
193,key-10.3201/eid0101.950101-201701091027-R26,Poiesz (1980),Poiesz,Detection and isolation of type C retrovirus particles from fresh and cultured lymphocytes of a patient with cutaneous T-cell lymphoma.,1980
194,key-10.3201/eid0101.950101-201701091027-R27,Schlievert (1981),Schlievert,Identification and characterization of an exotoxin from Staphylococcus aureus associated with toxic shock syndrome.,1981
195,key-10.3201/eid0101.950101-201701091027-R28,Riley (1983),Riley,Hemorrhagic colitis associated with a rare Escherichia coli serotype.,1983
196,key-10.3201/eid0101.950101-201701091027-R29,Kalyanaraman (1981),Kalyanaraman,Immunological properties of a type C retrovirus isolated from cultured human T-lymphoma cells and comparison to other mammalian retroviruses,1981
197,key-10.3201/eid0101.950101-201701091027-R30,Burgdorfer (1982),Burgdorfer,Lyme disease-a tick-borne spirochetosis?,1982
198,key-10.3201/eid0101.950101-201701091027-R31,Barré-Sinoussi (1983),Barré-Sinoussi,Isolation of a T-lymphotropic retrovirus from a patient at risk for acquired immune deficiency syndrome.,1983
199,key-10.3201/eid0101.950101-201701091027-R33,Yamanishi (1988),Yamanishi,Identification of human herpesvirus-6 as a causal agent for exanthem subitum.,1988
200,key-10.3201/eid0101.950101-201701091027-R34,Dawson (1991),Dawson,Isolation and characterization of an Ehrlichia sp. from a patient diagnosed with human ehrlichiosis.,1991
201,key-10.3201/eid0101.950101-201701091027-R35,Choo (1989),Choo,"Isolation of a cDNA clone derived from a blood-borne non-A, non-B viral hepatitis genome.",1989
202,key-10.3201/eid0101.950101-201701091027-R36,Salas (1991),Salas,Venezuelan hemorrhagic fever.,1991
203,key-10.3201/eid0101.950101-201701091027-R37,World Health Organization (1993),World Health Organization,Epidemic diarrhea due to Vibrio cholerae non-01.,1993
204,key-10.3201/eid0101.950101-201701091027-R38,Regnery (1992),Regnery,"Rodr¡guez-Barradas MC, Jones DC, Carr JH. Characterization of a novel Rochalimaea species, R. henselae sp. nov., isolated from blood of a febrile, human immunodeficiency virus-positive patient.",1992
205,key-10.3201/eid0101.950101-201701091027-R39,Welch (1992),Welch,"Rochalimaea henselae sp. nov., a cause of septicemia, bacillary angiomatosis, and parenchymal bacillary peliosis.",1992
206,key-10.3201/eid0101.950101-201701091027-R40,Nichol (1993),Nichol,Genetic identification of a hantavirus associated with an outbreak of acute respiratory illness.,1993
207,key-10.3201/eid0101.950101-201701091027-R41,Lisieux (1994),Lisieux,New arenavirus isolated in Brazil.,1994
208,key-10.3201/eid0101.950101-201701091027-R42,Relman (1991),Relman,"The organism causing bacillary angiomatosis, peliosis hepatitis, and fever and bacteremia in immunocompromised patients.",1991
209,key-10.3201/eid0101.950101-201701091027-R43,unparseable (1900),unparseable,unparseable,1900
210,key-10.3201/eid0101.950101-201701091027-R44,Berkelman (1994),Berkelman,Infectious disease surveillance: a crumbling foundation.,1994
211,key-10.3201/eid0101.950101-201701091027-R45,unparseable (1900),unparseable,unparseable,1900
212,key-10.3201/eid0101.950101-201701091027-R46,unparseable (1900),unparseable,unparseable,1900
213,10.1016/S0002-8223(95)00523-4,Guffey T et al (1995),"Guffey T., Brownson R., Dabney S.","New Prevention Research Center Targets Diet, Physical Activity And Smoki Ns For Study Through Community-based Interventions In A Rural Midwest Population",1995
214,noDOI27,Friede A et al (1996),"Friede A., O'Carroll P.W., Thralls R.B., Reid J.A.",CDC WONDER on the Web.,1996
215,10.1097/00124784-199623000-00007,Morris G et al (1996),"Morris G., Snider D., Katz M.",Integrating public health information and surveillance systems,1996
216,noDOI29,Shao C et al (1996),"Shao C., Xu W., Ye G.",Sexually transmitted disease control in China (1949-1994).,1996
217,10.1097/00002480-199642030-00020,Tokars et al (1996),"Tokars J.I., Alter M.J., Favero M.S., Moyer L.A., Miller E., Bland L.A.","National surveillance of dialysis associated diseases in the United States, 1993",1996
218,10.1001/jama.275.3.210,Hu et al (1996),"Hu D.J., Dondero T.J., Rayfield M.A., George J.R., Schochetman G., Jaffe H.W., Luo C.-C., Kalish M.L., Weniger B.G., Pau C.-P., Schable C.A., Curran J.W.","The emerging genetic diversity of HIV: The importance of global surveillance for diagnostics, research, and prevention",1996
219,10.1001/jama.275.3.206,Jernigan et al (1996),"Jernigan D.B., Cetron M.S., Breiman R.F.",Minimizing the impact of drug-resistant Streptococcus pneumoniae (DRSP): A strategy from the DRSP Working Group,1996
220,noDOI33,Hii et al (1996),"Hii J.L.K., Chee K.C., Vun Y.S., Awang J., Chin K.H., Kan S.K.P.","Sustainability of a successful malaria surveillance and treatment program in a Runggus community in Sabah, East Malaysia",1996
221,noDOI34,Friede A & O'Carroll (1996),"Friede A., O'Carroll P.W.",CDC and ATSDR electronic information resources for health officers,1996
222,noDOI35,Sanders & Tukei (1996),"Sanders E.J., Tukei P.M.",Yellow fever: An emerging threat for Kenya and other east African countries,1996
223,noDOI36,Boussard E et al (1996),"Boussard E., Flahault A., Vibert J.-F., Valleron A.-J.",Sentiweb: French communicable disease surveillance on the world wide web,1996
224,10.3201/eid0304.970428,[No author name available] (1997),[No author name available],Foodborne Diseases Active Surveillance Network (FoodNet).,1997
225,10.20506/rst.16.3.1060,Dufour B & Audigé (1997),"Dufour B., Audigé L.",A proposed classification of veterinary epidemiosurveillance networks,1997
226,10.1086/514511,Busch et al (1997),"Busch D.F., Gilbert D.N., Liedtke L.A., Strausbaugh L.J., Anderson L.J., Jemigan D.B., Pinner R.W.",The emerging infections network: A new venture for the Infectious Diseases Society of America,1997
227,10.1016/S0891-5520(05)70389-5,Sahm & Tenover (1997),"Sahm D.F., Tenover F.C.",Surveillance for the emergence and dissemination of antimicrobial resistance in bacteria,1997
228,10.1016/S0891-5520(05)70389-5_bib1,Brown (1990),Brown,The emergence of bacterial resistance in hospitals—a need for continuous surveillance,1990
229,10.1016/S0891-5520(05)70389-5_bib2,Burwen (1994),Burwen,Ceftazidime resistance among selected nosocomial gram-negative bacilli in the United States,1994
230,10.1016/S0891-5520(05)70389-5_bib3,Butler (1996),Butler,The continued emergence of drug-resistant Streptococcus pneumoniae in the United States; an update from the Centers for Disease Control and Prevention's Pneumococcal Sentinel Surveillance System,1996
231,10.1016/S0891-5520(05)70389-5_bib4,Cassell (1995),Cassell,ASM task force urges broad program on antimicrobial resistance,1995
232,10.1016/S0891-5520(05)70389-5_bib5,Centers for Disease Control and Prevention (1993),Centers for Disease Control and Prevention,"Nosocomial enterococci resistant to vancomycin–United States, 1989–1993",1993
233,10.1016/S0891-5520(05)70389-5_bib6,Centers for Disease Control and Prevention (1994),Centers for Disease Control and Prevention,"Drug–resistant Streptococcus pneumoniae— Kentucky and Tennessee, 1993",1994
234,10.1016/S0891-5520(05)70389-5_bib7,Centers for Disease Control and Prevention (1996),Centers for Disease Control and Prevention,"Assessment of testing for and completeness of reporting of vancomycin-resistant enterococci–Connecticut, 1994",1996
235,10.1016/S0891-5520(05)70389-5_bib8,Centers for Disease Control and Prevention (1996),Centers for Disease Control and Prevention,Assessment of national reporting of drug–resistant Streptococcus pneumoniae—1995–1996,1996
236,10.1016/S0891-5520(05)70389-5_bib9,Centers for Disease Control and Prevention (1996),Centers for Disease Control and Prevention,Defining the public health impact of drug- resistant Streptococcus pneumoniae: Report of a working group,1996
237,10.1016/S0891-5520(05)70389-5_bib10,Centers for Disease Control and Prevention (1997),Centers for Disease Control and Prevention,"Multidrug-resistant Salmonella Serotype Typhimurium—United States, 1996",1997
238,10.1016/S0891-5520(05)70389-5_bib11,Clark (1993),Clark,Characterization of glycopeptide-resistant enterococci from U.S. hospitals,1993
239,10.1016/S0891-5520(05)70389-5_bib12,Cohen (1992),Cohen,Epidemiology of drug resistance: implications for a post-antimicrobial era,1992
240,10.1016/S0891-5520(05)70389-5_bib13,Coronado (1995),Coronado,Ciprofloxacin resistance among nosocomial Pseudomonas aeruginosa and Staphylococcus aureus in the U. S,1995
241,10.1016/S0891-5520(05)70389-5_bib14,Courvalin (1992),Courvalin,Interpretive reading of antimicrobial susceptibility tests,1992
242,10.1016/S0891-5520(05)70389-5_bib15,Dutka-Malen (1995),Dutka-Malen,Detection of glycopeptide resistance genotypes and identification to the species level of clinically relevant enterococci by PCR,1995
243,10.1016/S0891-5520(05)70389-5_bib16,Emori (1991),Emori,National Nosocomial Infections Surveillance System: Description of surveillance methods,1991
244,10.1016/S0891-5520(05)70389-5_bib17,Gaynes (1995),Gaynes,Surveillance of antibiotic resistance: learning to live with bias,1995
245,10.1016/S0891-5520(05)70389-5_bib18,Gaynes (1992),Gaynes,Resistance to imipenem among selected gram-negative bacilli in the United States,1992
246,10.1016/S0891-5520(05)70389-5_bib19,Geison (1995),Geison,"{'key': '10.1016/S0891-5520(05)70389-5_bib19', 'author': 'Geison', 'first-page': '378', 'year': '1995', 'series-title': 'The Private Science of Louis Pasteur'}",1995
247,10.1016/S0891-5520(05)70389-5_bib20,Hofmann (1995),Hofmann,The prevalence of drug-resistant Streptococcus pneumoniae in Atlanta,1995
248,10.1016/S0891-5520(05)70389-5_bib21,Hospital Infection Control Practices Advisory Committee (HICPAC) (1995),Hospital Infection Control Practices Advisory Committee (HICPAC),Recommendations for preventing the spread of vancomycin resistance,1995
249,10.1016/S0891-5520(05)70389-5_bib22,Hughes (1997),Hughes,Approaches to limiting emergence of antimicrobial resistance in bacteria in human populations,1997
250,10.1016/S0891-5520(05)70389-5_bib23,Knapp (1994),Knapp,Emerging in vitro resistance to quinolones in penicillinase-producing Neisseria gonorrhoeae strains in Hawaii,1994
251,10.1016/S0891-5520(05)70389-5_bib24,Morris (1995),Morris,"Enterococci resistant to multiple antimicrobial agents, including vancomycin",1995
252,10.1016/S0891-5520(05)70389-5_bib25,O'Brien (1986),O'Brien,Resistance to antibiotics at medial centres in different parts of the world,1986
253,10.1016/S0891-5520(05)70389-5_bib26,Panlilio (1992),Panlilio,"Methicillin-resistant Staphylococcus aureus in U.S. hospitals, 1975–1991",1992
254,10.1016/S0891-5520(05)70389-5_bib27,Paul (1995),Paul,A statewide surveillance system for antimicrobial resistant bacteria: New Jersey,1995
255,10.1016/S0891-5520(05)70389-5_bib28,Quinn (1989),Quinn,Novel plasmid-mediated beta-lactamase (TEM-10) conferring selective resistance to ceftazidime and aztreonam in clinical isolates of Klebsiella pneumoniae.,1989
256,10.1016/S0891-5520(05)70389-5_bib29,Rahal (1997),Rahal,Reports on surveillance of antimicrobial resistance in individual countries,1997
257,10.1016/S0891-5520(05)70389-5_bib30,Sahm (1997),Sahm,Rapid characterization schemes for surveillance isolates of vancomycin-resistant enterococci,1997
